[2025-12-17 00:17:13] 200 OK | anime | params={'q': 'Re Zero Season 3', 'limit': 5, 'type': 'tv'} | 5 results: ['54857: Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season', '61316: Re:Zero kara Hajimeru Isekai Seikatsu 4th Season', '39587: Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season', '42203: Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2', '31240: Re:Zero kara Hajimeru Isekai Seikatsu']
[2025-12-17 00:17:16] 200 OK | anime | params={'q': 'Re Zero', 'limit': 5, 'type': 'tv'} | 5 results: ['61316: Re:Zero kara Hajimeru Isekai Seikatsu 4th Season', '31240: Re:Zero kara Hajimeru Isekai Seikatsu', '39587: Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season', '42203: Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2', '54857: Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season']
[2025-12-17 00:38:51] 200 OK | anime | params={'q': 'Lord of Mysteries', 'limit': 10} | 10 results: ['62276: Guimi Zhi Zhu Tebie Pian: Liewu', '62286: Guimi Zhi Zhu: Caidan', '62286: Guimi Zhi Zhu: Caidan', '49818: Guimi Zhi Zhu: Xiaochou Pian', '36447: Lord of Vermilion IV']
[2025-12-17 00:45:55] 200 OK | anime | params={'q': 'Lord of Mysteries', 'limit': 10} | 10 results: ['62276: Guimi Zhi Zhu Tebie Pian: Liewu', '62286: Guimi Zhi Zhu: Caidan', '62286: Guimi Zhi Zhu: Caidan', '49818: Guimi Zhi Zhu: Xiaochou Pian', '36447: Lord of Vermilion IV']
[2025-12-17 00:47:09] 200 OK | anime | params={'q': 'Lord of Mysteries', 'limit': 10} | 10 results: ['62276: Guimi Zhi Zhu Tebie Pian: Liewu', '62286: Guimi Zhi Zhu: Caidan', '62286: Guimi Zhi Zhu: Caidan', '49818: Guimi Zhi Zhu: Xiaochou Pian', '36447: Lord of Vermilion IV']
[2025-12-17 01:00:20] 200 OK | anime | params={'q': 'Lord of Mysteries', 'limit': 10} | 10 results: ['62276: Guimi Zhi Zhu Tebie Pian: Liewu', '62286: Guimi Zhi Zhu: Caidan', '62286: Guimi Zhi Zhu: Caidan', '49818: Guimi Zhi Zhu: Xiaochou Pian', '36447: Lord of Vermilion IV']
[2025-12-18 16:49:22] 200 OK | anime | params={'q': 'Sousou no Frieren', 'limit': 10} | 10 results: ['52991: Sousou no Frieren', '59978: Sousou no Frieren 2nd Season', '56885: Sousou no Frieren: ●● no Mahou', '1602: Soukou no Strain', '35424: Donten ni Warau Gaiden: Shukumei, Soutou no Fuuma']
[2025-12-18 18:15:12] 200 OK | anime | params={'q': 'Frieren', 'limit': 10} | 6 results: ['52991: Sousou no Frieren', '59978: Sousou no Frieren 2nd Season', '56885: Sousou no Frieren: ●● no Mahou', '795: Oniisama e...', '8367: Crayon Shin-chan Movie 16: Chou Arashi wo Yobu Kinpoko no Yuusha']
[2025-12-18 20:58:28] 200 OK | anime/52991/episodes | params={'page': 1} | 28 results: ["1: The Journey's End", "2: It Didn't Have to Be Magic…", '3: Killing Magic', '4: The Land Where Souls Rest', '5: Phantoms of the Dead']
[2025-12-18 21:00:33] 200 OK | anime | params={'q': 'Sousou no Frieren', 'limit': 10} | 10 results: ['52991: Sousou no Frieren', '59978: Sousou no Frieren 2nd Season', '56885: Sousou no Frieren: ●● no Mahou', '1602: Soukou no Strain', '35424: Donten ni Warau Gaiden: Shukumei, Soutou no Fuuma']
